,Player,<5Ft FGM,<5 Ft FGA,<5 Ft FG%,5-9 Ft GM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year,All_Team,Pos
22,Amal McCaskill,2.5,3.6,0.677,0.8,1.4,0.529,0.7,1.3,0.5,0.7,1.8,0.37,1.0,3.3,0.308,0.0,0.0,0.0,1996,0.0,C
23,Andrew DeClercq,4.8,8.5,0.565,1.0,2.4,0.41,0.9,2.5,0.361,1.8,4.5,0.403,2.6,6.7,0.387,0.4,0.9,0.476,1996,0.0,C
24,Andrew Lang,8.3,14.8,0.5589999999999999,1.5,4.1,0.362,2.8,6.5,0.425,2.8,6.5,0.439,1.9,4.7,0.401,0.6,1.8,0.328,1996,0.0,C
25,Anfernee Hardaway,14.4,25.7,0.561,2.8,6.7,0.413,2.6,6.4,0.39799999999999996,3.6,8.6,0.417,4.7,13.9,0.33899999999999997,0.2,1.0,0.189,1996,0.0,PG
26,Anthony Goldwire,7.3,14.9,0.486,1.8,4.1,0.447,1.6,3.8,0.43200000000000005,2.6,6.1,0.429,2.5,6.4,0.39299999999999996,0.2,0.5,0.455,1996,0.0,PG
27,Anthony Goldwire,7.3,14.9,0.486,1.8,4.1,0.447,1.6,3.8,0.43200000000000005,2.6,6.1,0.429,2.5,6.4,0.39299999999999996,0.2,0.5,0.455,1996,0.0,PG
28,Anthony Goldwire,7.3,14.9,0.486,1.8,4.1,0.447,1.6,3.8,0.43200000000000005,2.6,6.1,0.429,2.5,6.4,0.39299999999999996,0.2,0.5,0.455,1996,0.0,PG
29,Anthony Mason,15.8,36.6,0.433,2.5,4.9,0.509,3.3,6.9,0.48,5.5,10.7,0.517,5.9,12.7,0.46399999999999997,0.6,1.7,0.328,1996,2.0,PF
30,Anthony Miller,4.0,6.0,0.667,0.0,2.0,0.0,3.0,5.0,0.6,1.0,3.0,0.333,3.0,5.0,0.6,0.0,0.0,0.0,1996,0.0,PF
31,Anthony Peeler,12.7,23.0,0.55,2.1,4.5,0.466,2.1,4.9,0.42200000000000004,3.4,9.1,0.373,4.1,10.8,0.38,0.5,1.6,0.304,1996,0.0,SG
32,Antoine Carr,4.9,9.3,0.528,1.2,2.6,0.48,1.2,2.9,0.409,1.7,4.3,0.382,2.8,7.7,0.359,0.3,0.9,0.344,1996,0.0,PF
33,Antoine Walker,18.4,33.5,0.5489999999999999,2.2,3.8,0.595,2.3,4.5,0.512,3.3,6.6,0.494,5.0,12.0,0.41200000000000003,0.5,1.5,0.314,1996,0.0,PF
34,Antonio Davis,8.2,15.9,0.515,1.8,4.5,0.394,2.0,5.3,0.38,3.3,8.3,0.404,3.7,9.9,0.376,0.4,1.3,0.319,1996,0.0,PF
35,Antonio Harvey,1.5,4.5,0.33299999999999996,0.0,0.0,0.0,0.2,0.6,0.33299999999999996,0.8,1.5,0.5,1.0,3.2,0.313,0.0,0.5,0.0,1996,0.0,PF
36,Antonio Lang,3.5,6.2,0.5589999999999999,1.2,3.1,0.387,0.6,2.3,0.275,1.1,3.0,0.373,1.5,4.1,0.374,0.3,1.0,0.32,1996,0.0,PF
37,Antonio McDyess,13.3,24.4,0.545,2.9,6.7,0.428,2.3,6.4,0.35600000000000004,5.3,12.5,0.424,4.5,11.0,0.41100000000000003,0.5,1.3,0.397,1996,0.0,PF
38,Armen Gilliam,10.6,17.3,0.614,1.9,4.8,0.384,2.3,5.7,0.40399999999999997,2.6,6.5,0.398,2.1,5.4,0.39399999999999996,0.4,1.6,0.273,1996,0.0,PF
39,Arvydas Sabonis,8.5,16.8,0.508,2.2,5.3,0.41,1.7,4.6,0.37,2.4,6.0,0.405,3.4,8.8,0.387,0.6,1.1,0.524,1996,0.0,C
40,Ashraf Amaya,1.7,2.7,0.612,0.6,1.1,0.545,0.5,1.2,0.40700000000000003,0.8,1.9,0.395,0.8,1.9,0.4,0.2,0.9,0.182,1996,0.0,PF
41,Avery Johnson,12.1,21.5,0.565,1.7,4.1,0.431,2.7,6.0,0.442,4.0,9.1,0.443,4.5,11.4,0.39399999999999996,0.4,1.4,0.311,1996,0.0,PG
42,B.J. Armstrong,7.7,13.0,0.591,1.4,3.2,0.421,1.6,4.1,0.387,2.6,5.7,0.459,3.1,8.2,0.38299999999999995,0.6,1.5,0.375,1996,0.0,PG
43,Ben Davis,2.0,2.6,0.75,0.9,2.2,0.429,0.6,1.4,0.474,0.6,1.2,0.476,1.2,3.3,0.36,0.2,0.6,0.333,1996,0.0,PF
44,Ben Wallace,2.0,3.8,0.535,0.3,1.3,0.25,0.6,1.4,0.41200000000000003,0.8,2.0,0.375,0.7,2.3,0.318,0.4,0.9,0.429,1996,0.0,PF
45,Benoit Benjamin,4.5,8.8,0.514,1.0,1.8,0.571,0.8,3.3,0.231,1.0,1.5,0.667,1.8,3.5,0.5,0.0,0.0,0.0,1996,0.0,C
46,Bill Wennington,4.3,8.1,0.525,1.0,2.2,0.477,1.1,2.8,0.39299999999999996,1.3,4.0,0.336,1.8,4.6,0.387,0.3,1.2,0.273,1996,0.0,C
47,Billy Owens,10.1,17.6,0.5760000000000001,3.0,7.1,0.429,2.6,6.3,0.41100000000000003,3.1,8.1,0.38,3.8,9.8,0.384,0.3,1.3,0.216,1996,0.0,SF
48,Bimbo Coles,8.5,13.5,0.631,1.5,3.8,0.402,1.6,4.7,0.34299999999999997,3.2,7.2,0.441,3.5,9.4,0.36700000000000005,0.4,1.4,0.276,1996,0.0,PG
49,Bison Dele,5.0,8.7,0.5770000000000001,1.1,2.3,0.476,1.4,3.4,0.419,1.8,3.6,0.5,1.8,5.3,0.33299999999999996,0.1,1.6,0.091,1996,0.0,C
50,Blue Edwards,9.0,16.5,0.55,1.6,3.3,0.479,1.7,3.8,0.435,2.9,7.4,0.389,2.7,7.1,0.38299999999999995,0.6,1.5,0.386,1996,0.0,SF
51,Bo Outlaw,9.4,17.7,0.529,2.0,4.3,0.457,1.5,3.8,0.39799999999999996,2.4,6.6,0.357,3.5,9.9,0.355,0.3,1.2,0.295,1996,0.0,PF
52,Bob Sura,7.8,13.9,0.565,1.9,5.2,0.361,1.6,4.9,0.33799999999999997,2.6,6.4,0.408,3.1,8.2,0.37200000000000005,0.4,1.2,0.315,1996,0.0,SG
53,Bobby Hurley,4.7,8.4,0.561,1.7,4.2,0.411,1.3,3.4,0.392,1.6,4.1,0.39,1.7,4.7,0.355,0.4,1.2,0.357,1996,0.0,PG
54,Bobby Phills,9.3,16.5,0.564,2.4,6.4,0.38,2.1,6.4,0.32899999999999996,3.4,8.1,0.423,4.2,11.0,0.38299999999999995,0.4,1.1,0.324,1996,0.0,SG
55,Brad Lohaus,4.0,6.2,0.649,0.4,1.4,0.286,1.0,2.6,0.385,0.4,1.0,0.4,0.4,1.6,0.25,0.0,0.5,0.0,1996,0.0,PF
56,Brent Barry,6.7,12.4,0.5429999999999999,1.6,3.4,0.486,1.1,2.5,0.431,1.6,4.3,0.376,2.4,6.9,0.35200000000000004,0.2,0.6,0.375,1996,0.0,SG
57,Brent Price,6.3,10.7,0.588,1.5,3.5,0.412,0.9,2.7,0.32299999999999995,1.6,3.8,0.422,2.0,6.2,0.331,0.2,1.7,0.133,1996,0.0,PG
58,Brent Scott,1.2,2.2,0.5429999999999999,0.3,0.7,0.5,0.2,0.7,0.33299999999999996,0.9,1.4,0.643,0.4,2.4,0.161,0.0,1.0,0.0,1996,0.0,PF
59,Brett Szabo,4.5,8.8,0.51,0.9,1.5,0.554,0.7,1.4,0.507,1.4,2.6,0.557,1.6,3.8,0.41100000000000003,0.4,1.0,0.385,1996,0.0,C
60,Brian Evans,1.9,3.1,0.591,0.4,0.9,0.5,0.1,1.2,0.091,0.6,1.2,0.5,0.9,1.8,0.522,0.5,0.5,1.0,1996,0.0,SF
61,Brian Grant,8.8,14.0,0.623,2.5,5.5,0.447,1.9,5.5,0.341,2.7,6.2,0.439,3.7,10.3,0.36200000000000004,0.1,0.8,0.125,1996,0.0,PF
62,Brian Shaw,9.1,15.8,0.5760000000000001,1.9,4.5,0.429,1.8,4.2,0.425,2.6,6.1,0.423,3.2,8.7,0.374,0.2,1.0,0.158,1996,0.0,PG
63,Brooks Thompson,6.4,11.1,0.581,1.2,3.0,0.413,1.5,3.4,0.44,2.2,5.2,0.415,2.1,5.0,0.408,0.2,0.7,0.35,1996,0.0,PG
64,Brooks Thompson,6.4,11.1,0.581,1.2,3.0,0.413,1.5,3.4,0.44,2.2,5.2,0.415,2.1,5.0,0.408,0.2,0.7,0.35,1996,0.0,PG
65,Brooks Thompson,6.4,11.1,0.581,1.2,3.0,0.413,1.5,3.4,0.44,2.2,5.2,0.415,2.1,5.0,0.408,0.2,0.7,0.35,1996,0.0,PG
66,Bruce Bowen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996,0.0,SF
67,Bryant Reeves,15.1,26.0,0.583,2.6,5.4,0.479,2.3,5.9,0.39399999999999996,3.9,10.1,0.385,4.8,12.9,0.373,0.5,1.5,0.354,1996,0.0,C
68,Bryant Stith,12.4,23.4,0.53,2.8,6.3,0.441,2.8,6.8,0.40399999999999997,5.2,12.1,0.432,4.1,10.1,0.408,0.5,1.5,0.302,1996,0.0,SG
69,Bryon Russell,9.1,17.1,0.529,2.2,5.0,0.444,2.0,5.1,0.4,3.2,8.6,0.371,4.8,12.4,0.389,0.3,1.1,0.32,1996,0.0,SF
70,Buck Williams,5.4,10.5,0.513,1.1,2.8,0.389,1.7,4.7,0.371,1.9,5.2,0.373,2.5,6.8,0.37200000000000005,0.3,1.1,0.295,1996,0.0,PF
71,Byron Scott,6.1,11.5,0.531,1.5,3.6,0.417,1.7,4.1,0.41100000000000003,2.0,5.0,0.407,2.1,6.1,0.341,0.3,1.2,0.254,1996,0.0,SG
72,Calbert Cheaney,10.7,19.4,0.551,2.1,4.7,0.447,2.7,7.6,0.359,4.2,9.8,0.426,3.7,8.9,0.41600000000000004,0.7,2.0,0.331,1996,0.0,SG
73,Carl Herrera,8.4,15.4,0.547,1.6,3.7,0.434,1.9,4.7,0.40700000000000003,3.0,6.8,0.442,3.7,9.0,0.41200000000000003,0.5,1.2,0.375,1996,0.0,PF
74,Carl Thomas,1.2,1.9,0.611,0.3,0.9,0.333,0.2,1.7,0.133,0.2,1.1,0.188,0.9,1.8,0.5,0.1,0.4,0.25,1996,0.0,SG
75,Carlos Rogers,10.1,17.6,0.5770000000000001,1.8,4.1,0.435,1.7,4.7,0.35700000000000004,1.9,5.1,0.364,3.2,8.8,0.368,0.3,1.1,0.3,1996,0.0,PF
76,Cedric Ceballos,10.6,18.3,0.578,2.3,6.2,0.371,2.2,5.6,0.396,3.7,8.3,0.441,4.6,11.7,0.389,0.5,1.3,0.346,1996,0.0,SF
77,Cedric Ceballos,10.6,18.3,0.578,2.3,6.2,0.371,2.2,5.6,0.396,3.7,8.3,0.441,4.6,11.7,0.389,0.5,1.3,0.346,1996,0.0,SF
78,Cedric Ceballos,10.6,18.3,0.578,2.3,6.2,0.371,2.2,5.6,0.396,3.7,8.3,0.441,4.6,11.7,0.389,0.5,1.3,0.346,1996,0.0,SF
79,Charles Barkley,11.8,22.6,0.522,3.1,7.2,0.432,2.9,6.9,0.414,5.0,12.3,0.408,5.7,15.3,0.369,0.5,1.3,0.424,1996,0.0,PF
80,Charles Jones,3.0,4.9,0.61,0.8,2.0,0.389,0.8,1.7,0.467,0.9,3.0,0.3,1.2,2.9,0.406,0.3,1.3,0.2,1996,0.0,PF
81,Charles Oakley,10.3,19.5,0.528,2.2,5.6,0.398,3.3,9.0,0.37200000000000005,3.6,9.5,0.374,4.6,11.9,0.38799999999999996,0.4,1.7,0.255,1996,0.0,PF
82,Charles Smith,5.2,10.5,0.49700000000000005,1.4,2.7,0.51,1.2,3.2,0.386,2.5,5.3,0.47,1.9,5.3,0.37,0.6,1.4,0.429,1996,0.0,PF
83,Charlie Ward,6.4,12.4,0.513,1.5,3.4,0.446,1.8,5.1,0.358,2.2,5.8,0.387,3.0,7.6,0.396,0.4,1.5,0.246,1996,0.0,PG
84,Cherokee Parks,4.6,8.7,0.527,1.0,2.4,0.411,1.0,2.3,0.435,1.4,3.5,0.384,1.7,4.2,0.413,0.3,1.2,0.25,1996,0.0,PF
85,Chris Carr,5.3,10.0,0.5329999999999999,1.2,2.8,0.422,1.1,3.1,0.355,1.5,4.2,0.355,1.7,4.4,0.382,0.1,0.8,0.143,1996,0.0,SG
86,Chris Childs,8.9,16.9,0.525,1.8,4.7,0.385,3.2,8.2,0.38799999999999996,3.3,8.6,0.377,4.0,10.6,0.381,0.4,1.6,0.268,1996,0.0,PG
87,Chris Dudley,6.7,13.0,0.514,2.0,4.6,0.424,2.0,4.7,0.423,2.0,5.3,0.369,2.9,8.1,0.358,0.3,1.4,0.237,1996,0.0,C
88,Chris Gatling,9.0,16.0,0.5670000000000001,2.0,4.5,0.44,1.8,5.1,0.35700000000000004,3.3,8.4,0.39,3.9,9.6,0.40299999999999997,0.7,1.5,0.464,1996,0.0,PF
89,Chris Gatling,9.0,16.0,0.5670000000000001,2.0,4.5,0.44,1.8,5.1,0.35700000000000004,3.3,8.4,0.39,3.9,9.6,0.40299999999999997,0.7,1.5,0.464,1996,0.0,PF
90,Chris Gatling,9.0,16.0,0.5670000000000001,2.0,4.5,0.44,1.8,5.1,0.35700000000000004,3.3,8.4,0.39,3.9,9.6,0.40299999999999997,0.7,1.5,0.464,1996,0.0,PF
91,Chris Jent,1.3,1.7,0.8,1.0,1.0,1.0,0.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.0,1.0,0.0,1996,0.0,SF
92,Chris Mills,11.4,20.2,0.564,2.7,7.3,0.363,2.4,7.3,0.324,3.8,9.2,0.415,4.5,12.0,0.375,0.5,1.3,0.371,1996,0.0,SF
93,Chris Morris,3.8,7.4,0.508,1.1,1.9,0.56,0.9,2.2,0.4,1.2,3.3,0.373,2.4,5.8,0.409,0.4,1.0,0.409,1996,0.0,SF
94,Chris Mullin,13.6,22.0,0.617,2.5,5.4,0.455,2.3,6.2,0.377,4.5,10.6,0.428,5.3,13.8,0.38799999999999996,0.4,1.4,0.296,1996,0.0,SF
95,Chris Robinson,6.9,11.2,0.611,1.6,3.1,0.518,0.7,2.5,0.287,1.6,4.2,0.394,2.8,6.3,0.44,0.1,1.1,0.105,1996,0.0,SG
96,Chris Webber,13.8,25.8,0.535,2.6,5.6,0.457,3.3,8.9,0.371,5.0,11.9,0.419,4.7,11.8,0.401,0.8,2.4,0.343,1996,0.0,PF
97,Chris Whitney,4.7,8.9,0.523,0.9,2.2,0.398,1.0,2.7,0.361,1.4,3.5,0.404,1.6,4.4,0.36,0.4,1.2,0.333,1996,0.0,PG
98,Christian Laettner,11.5,23.0,0.498,2.3,5.7,0.404,3.0,8.0,0.373,4.5,10.9,0.409,4.7,12.9,0.363,0.4,1.4,0.255,1996,0.0,PF
99,Chucky Brown,4.2,6.8,0.62,0.9,2.1,0.412,1.1,2.6,0.41,1.0,2.6,0.408,1.1,3.2,0.341,0.5,1.6,0.309,1996,0.0,SF
100,Chucky Brown,4.2,6.8,0.62,0.9,2.1,0.412,1.1,2.6,0.41,1.0,2.6,0.408,1.1,3.2,0.341,0.5,1.6,0.309,1996,0.0,SF
101,Chucky Brown,4.2,6.8,0.62,0.9,2.1,0.412,1.1,2.6,0.41,1.0,2.6,0.408,1.1,3.2,0.341,0.5,1.6,0.309,1996,0.0,SF
102,Clifford Robinson,12.3,24.0,0.514,3.3,7.7,0.433,2.9,7.3,0.39,3.6,8.8,0.405,4.9,12.8,0.384,0.6,1.6,0.352,1996,0.0,SF
103,Clifford Rozier,6.1,10.4,0.591,1.6,3.8,0.427,1.7,3.7,0.452,1.8,4.1,0.449,2.6,6.6,0.387,0.5,1.1,0.412,1996,0.0,C
104,Clifford Rozier,6.1,10.4,0.591,1.6,3.8,0.427,1.7,3.7,0.452,1.8,4.1,0.449,2.6,6.6,0.387,0.5,1.1,0.412,1996,0.0,C
105,Clifford Rozier,6.1,10.4,0.591,1.6,3.8,0.427,1.7,3.7,0.452,1.8,4.1,0.449,2.6,6.6,0.387,0.5,1.1,0.412,1996,0.0,C
106,Clyde Drexler,11.6,22.0,0.529,3.0,7.0,0.42,2.5,6.4,0.392,5.0,12.6,0.394,5.3,14.6,0.364,0.6,1.1,0.488,1996,0.0,SG
107,Corie Blount,6.4,11.9,0.542,1.4,3.6,0.376,1.5,4.1,0.379,1.8,4.1,0.439,2.0,5.6,0.355,0.4,1.4,0.3,1996,0.0,PF
108,Corliss Williamson,8.4,13.9,0.604,2.6,5.8,0.45,2.2,5.4,0.4,2.9,7.6,0.382,3.1,8.1,0.389,0.4,1.3,0.273,1996,0.0,SF
109,Cory Alexander,6.3,11.4,0.555,1.4,2.9,0.466,1.1,2.9,0.363,1.7,4.6,0.367,3.2,7.3,0.431,0.4,1.2,0.324,1996,0.0,PG
110,Craig Ehlo,4.3,8.3,0.523,0.9,2.2,0.424,1.0,2.6,0.39299999999999996,1.3,3.2,0.421,2.2,5.5,0.39799999999999996,0.5,1.2,0.407,1996,0.0,SG
111,Cuonzo Martin,1.7,2.7,0.625,1.0,2.0,0.5,0.7,1.0,0.667,0.0,1.0,0.0,0.3,0.7,0.5,0.0,0.0,0.0,1996,0.0,SG
112,Dale Davis,10.0,18.2,0.552,1.8,4.7,0.379,2.7,6.8,0.40299999999999997,3.9,9.2,0.419,4.5,11.4,0.39299999999999996,0.3,1.4,0.216,1996,0.0,PF
113,Dale Ellis,14.1,25.9,0.546,3.1,6.8,0.451,2.6,6.9,0.377,5.2,12.0,0.43,4.5,11.0,0.41100000000000003,0.5,1.3,0.37,1996,0.0,SF
114,Damon Stoudamire,15.4,26.5,0.5820000000000001,3.0,7.2,0.409,3.1,7.8,0.39299999999999996,3.5,8.5,0.411,5.4,14.3,0.38,0.5,1.4,0.38,1996,0.0,PG
115,Dan Majerle,10.0,18.3,0.5489999999999999,3.0,8.5,0.353,2.8,8.1,0.345,3.9,9.1,0.426,3.5,9.4,0.373,0.4,1.3,0.343,1996,0.0,SF
116,Dana Barros,14.3,28.2,0.509,1.3,2.6,0.516,2.6,4.0,0.6459999999999999,2.6,4.8,0.543,3.3,9.2,0.35700000000000004,0.2,0.9,0.188,1996,0.0,PG
117,Danny Ferry,9.4,15.8,0.594,2.2,5.6,0.391,1.9,5.7,0.33299999999999996,3.0,7.2,0.421,3.8,9.8,0.38799999999999996,0.4,1.0,0.391,1996,0.0,PF
118,Danny Manning,9.8,16.1,0.608,2.0,5.1,0.387,2.1,5.4,0.391,3.0,7.3,0.406,4.2,11.5,0.368,0.5,1.1,0.439,1996,0.0,PF
119,Darrell Armstrong,5.2,9.7,0.541,1.2,2.7,0.433,1.2,3.0,0.413,1.5,3.7,0.423,1.8,4.9,0.373,0.3,0.7,0.412,1996,0.0,PG
120,Darrick Martin,9.1,15.7,0.579,1.7,3.8,0.464,1.3,3.5,0.369,2.3,5.9,0.397,3.3,7.9,0.42,0.3,0.9,0.351,1996,0.0,PG
121,Darrin Hancock,1.9,3.6,0.523,0.5,1.1,0.412,0.6,1.1,0.542,0.9,1.8,0.486,0.7,2.2,0.32,0.8,1.8,0.444,1996,0.0,SF
122,Darrin Hancock,1.9,3.6,0.523,0.5,1.1,0.412,0.6,1.1,0.542,0.9,1.8,0.486,0.7,2.2,0.32,0.8,1.8,0.444,1996,0.0,SF
123,Darrin Hancock,1.9,3.6,0.523,0.5,1.1,0.412,0.6,1.1,0.542,0.9,1.8,0.486,0.7,2.2,0.32,0.8,1.8,0.444,1996,0.0,SF
124,Darrin Hancock,1.9,3.6,0.523,0.5,1.1,0.412,0.6,1.1,0.542,0.9,1.8,0.486,0.7,2.2,0.32,0.8,1.8,0.444,1996,0.0,SF
125,Darvin Ham,2.7,5.2,0.522,0.6,2.0,0.321,0.8,1.7,0.449,1.5,3.7,0.402,1.3,3.1,0.4,0.2,0.6,0.286,1996,0.0,SF
126,Darvin Ham,2.7,5.2,0.522,0.6,2.0,0.321,0.8,1.7,0.449,1.5,3.7,0.402,1.3,3.1,0.4,0.2,0.6,0.286,1996,0.0,SF
127,Darvin Ham,2.7,5.2,0.522,0.6,2.0,0.321,0.8,1.7,0.449,1.5,3.7,0.402,1.3,3.1,0.4,0.2,0.6,0.286,1996,0.0,SF
128,David Robinson,7.5,14.2,0.529,0.7,2.5,0.267,2.8,6.8,0.415,2.7,6.8,0.39,3.8,10.2,0.377,0.3,1.3,0.25,1996,0.0,C
129,David Vaughn,3.2,5.8,0.557,0.9,2.1,0.431,0.6,2.1,0.264,1.2,3.3,0.358,1.1,3.2,0.34700000000000003,0.2,1.5,0.111,1996,0.0,PF
130,David Wesley,19.4,35.8,0.542,2.5,4.5,0.567,2.8,5.4,0.511,3.7,7.2,0.514,5.4,13.4,0.40399999999999997,0.6,1.6,0.405,1996,0.0,PG
131,David Wingate,4.7,8.6,0.5429999999999999,0.8,1.9,0.394,0.9,2.3,0.376,1.4,3.4,0.411,2.6,6.4,0.406,0.4,1.1,0.414,1996,0.0,SG
132,David Wood,1.7,2.8,0.625,0.5,1.2,0.432,0.8,1.8,0.434,0.8,1.8,0.433,0.7,1.9,0.35600000000000004,0.3,0.9,0.333,1996,0.0,PF
133,Dean Garrett,9.1,16.7,0.546,2.0,4.8,0.409,1.5,4.1,0.365,2.2,6.2,0.358,3.4,8.4,0.408,0.4,1.1,0.324,1996,0.0,C
134,Dee Brown,11.2,22.2,0.503,1.3,2.3,0.585,1.5,2.6,0.588,2.0,3.5,0.562,3.4,8.9,0.385,0.3,0.9,0.286,1996,0.0,PG
135,Dell Curry,11.1,26.3,0.42100000000000004,1.8,3.6,0.509,2.2,4.4,0.505,3.6,7.1,0.512,4.4,9.1,0.48200000000000004,0.5,1.3,0.4,1996,0.0,SG
136,Dell Demps,1.5,3.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,1.5,0.667,0.0,0.0,0.0,1996,0.0,SG
137,Dennis Rodman,11.2,22.6,0.498,2.6,5.5,0.478,2.7,7.0,0.387,3.9,10.6,0.369,4.4,11.9,0.368,0.4,1.6,0.271,1996,0.0,PF
138,Dennis Scott,12.3,21.5,0.5710000000000001,2.4,5.7,0.414,2.3,5.7,0.39399999999999996,3.3,8.2,0.4,4.0,11.0,0.365,0.2,1.0,0.156,1996,0.0,SF
139,Derek Fisher,3.9,7.4,0.526,1.0,2.3,0.435,1.0,2.5,0.41100000000000003,1.3,3.3,0.402,1.1,3.6,0.311,0.2,0.9,0.257,1996,0.0,PG
140,Derek Harper,9.8,17.0,0.5760000000000001,2.0,4.7,0.423,2.2,5.7,0.385,3.5,8.8,0.403,4.3,11.2,0.38,0.5,1.2,0.404,1996,0.0,PG
